Liao,,,,,,,
Collection:LiaoA,0,,0,,0,,200
Collection:LiaoB,0,,0,,0,,800
Salvage:Davion,25,,25,,25,,25
Salvage:Marik,25,,35,,35,,35
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Lights,,,,,,,
mechdef_wasp_WSP-1L,95,,91,,92,,92
mechdef_stinger_STG-3R,158,,150,,92,,92
mechdef_wasp_WSP-1A,155,,147,,148,,148
mechdef_locust_LCT-1V,157,,150,,92,,92
mechdef_urbanmech_UM-R60L,9,,8,,8,,8
mechdef_locust_LCT-3V,9,,8,,8,,8
mechdef_stinger_STG-3G,48,,46,,46,,46
mechdef_urbanmech_UM-R60,83,,75,,76,,76
mechdef_flea_FLE-17,0,,0,3041-01-01T00:00:00Z,23,,23
mechdef_locust_LCT-1E,13,,13,,13,,13
mechdef_javelin_JVN-10N,24,,23,,23,,23
mechdef_ostscout_OTT-7J,24,,23,,23,,23
mechdef_hermes_HER-1A,9,,8,,8,,8
mechdef_falcon_FLC-4N,5,,5,,5,,5
mechdef_spider_SDR-5V,33,,32,,32,,32
mechdef_raven_RVN-1X,13,,33,,73,,73
mechdef_hermes_HER-1B,5,,5,,5,,5
mechdef_raven_RVN-3X,0,3029-10-01T00:00:00Z,5,,23,,23
mechdef_firestarter_FS9-H,76,,73,,72,,72
mechdef_raven_RVN-3L,0,,0,3048-01-01T00:00:00Z,23,,23
mechdef_mongoose_MON-67,9,,8,,8,,8
mechdef_firestarter_FS9-K,5,,5,,0,,0
mechdef_raven_RVN-4X,0,3031-01-01T00:00:00Z,8,,23,,23
mechdef_javelin_JVN-10F,5,,5,,5,,5
mechdef_urbanmech_UM-R90,20,,20,,20,,20
mechdef_urbanmech_UM-R60C,9,,8,,8,,8
mechdef_urbanmech_UM-R60X,0,3025-06-01T00:00:00Z,5,,5,,5
mechdef_urbanmech_UM-R50,3,,3,,3,,3
mechdef_wasp_WSP-1W,3,,3,,3,,3
Mediums,,,,,,,
mechdef_clint_CLNT-2-4T,5,,4,,5,,5
mechdef_cicada_CDA-2B,5,,4,,5,,5
mechdef_vulcan_VL-2T,23,,22,,5,,5
mechdef_cicada_CDA-2A,23,,22,,25,,25
mechdef_clint_CLNT-1-2R,5,,4,,5,,5
mechdef_clint_CLNT-2-3T,8,,8,,9,,9
mechdef_cicada_CDA-3C,5,,4,,5,,5
mechdef_vulcan_VL-5T,5,,4,,5,,5
mechdef_centurion_CN9-A,8,,4,,5,,5
mechdef_blackjack_BJ-1,72,,72,,79,,79
mechdef_vindicator_VND-1AA,8,,8,,9,,9
mechdef_whitworth_WTH-1,13,,13,,14,,14
mechdef_trebuchet_TBT-5S,5,,4,,5,,5
mechdef_wyvern_WVE-6N,8,,8,,9,,9
mechdef_vindicator_VND-1X,5,,4,,0,,0
mechdef_scorpion_SCP-1N,23,,22,,25,,25
mechdef_vindicator_VND-1R,226,,230,,250,,250
mechdef_phoenixhawk_PXH-1,149,,148,,164,,164
mechdef_hunchback_HBK-4G,45,,45,,50,,50
mechdef_hunchback_HBK-4SP,0,3025-09-01T00:00:00Z,4,3049-12-01T00:00:00Z,0,,0
mechdef_shadowhawk_SHD-2H,72,,72,,25,,25
mechdef_hunchback_HBK-4H,5,,4,,5,,5
mechdef_hunchback_HBK-4N,5,,4,,5,,5
mechdef_wolverine_WVR-6R,72,,72,,79,,79
mechdef_hunchback_HBK-4P,5,,4,,5,,5
mechdef_crab_CRB-20,8,,8,,9,,9
mechdef_hunchback_HBK-4J,5,,4,,5,,5
mechdef_dervish_DV-6M,23,,22,,0,,0
mechdef_trebuchet_TBT-5N,32,,31,,35,,35
mechdef_griffin_GRF-1N,72,,72,,79,,79
mechdef_gladiator_GLD-3R,5,,4,,5,,5
mechdef_gladiator_GLD-4R,5,,4,,5,,5
mechdef_cronus_CNS-3M,0,3031-01-01T00:00:00Z,5,,9,,9
Heavies,,,,,,,
mechdef_jagermech_JM6-S,38,,35,,23,,23
mechdef_rifleman_RFL-3N,131,,122,,50,,50
mechdef_champion_CHP-2N,20,,60,,0,,0
mechdef_quickdraw_QKD-4G,11,,10,,5,,5
mechdef_quickdraw_QKD-5A,4,,4,,5,,5
mechdef_merlin_MLN-1A,4,,4,,14,,14
mechdef_ostroc_OSR-2C,28,,26,,9,,9
mechdef_ostroc_OSR-2L,4,,4,,5,,5
mechdef_quickdraw_QKD-4H,4,,4,,5,,5
mechdef_ostsol_OTL-4D,64,,60,,35,,35
mechdef_catapult_CPLT-A1,4,,4,,5,,5
mechdef_ostroc_OSR-3C,4,,4,,5,,5
mechdef_crusader_CRD-3L,132,,123,,248,,248
mechdef_orion_ON1-V,4,,4,,5,,5
mechdef_warhammer_WHM-6R,61,,57,,32,,32
mechdef_warhammer_WHM-6L,20,,19,,14,,14
mechdef_cataphract_CTF-1X,11,,60,,164,,164
mechdef_crusader_CRD-3R,28,,26,,25,,25
mechdef_orion_ON1-VA,4,,4,,5,,5
mechdef_thunderbolt_TDR-5S,132,,60,,50,,50
mechdef_bombardier_BMB-10D,7,,7,,0,,0
mechdef_cataphract_CTF-2X,4,,26,,79,,79
mechdef_catapult_CPLT-C4,4,,4,,5,,5
mechdef_marauder_MAD-3R,20,,19,,9,,9
mechdef_catapult_CPLT-C3,0,,0,3044-01-01T00:00:00Z,14,,14
mechdef_marauder_MAD-3L,11,,10,,9,,9
mechdef_guillotine_GLT-4P,4,,4,,0,,0
mechdef_catapult_CPLT-C1,40,,37,,14,,14
mechdef_guillotine_GLT-4L,20,,19,,9,,9
mechdef_grasshopper_GHR-5H,26,,24,,13,,13
mechdef_orion_ON1-K,28,,26,,25,,25
mechdef_stalker_STK-4P,7,,7,,9,,9
mechdef_archer_ARC-2R,61,,57,,33,,33
mechdef_grasshopper_GHR-5N,0,,0,3040-01-01T00:00:00Z,9,,9
mechdef_grasshopper_GHR-4R,2,,2,,1,,1
mechdef_jagermech_JM6-B,2,,2,,2,,2
mechdef_warhammer_WHM-6L-DC,3,,3,,3,,3
mechdef_cataphract_CTF-0X,3,,3,,3,,3
mechdef_archer_ARC-2W,3,,3,,2,,2
Assaults,,,,,,,
mechdef_charger_CGR-1L,37,,38,,19,,19
mechdef_victor_VTR-9A,10,,10,,12,,12
mechdef_victor_VTR-9A1,10,,10,,12,,12
mechdef_cyclops_CP-10-Z,35,,36,,17,,17
mechdef_longbow_LGB-0W,54,,54,,34,,34
mechdef_victor_VTR-9B,267,,271,,344,,344
mechdef_banshee_BNC-3E,86,,86,,48,,48
mechdef_charger_CGR-1A5,5,,5,,8,,8
mechdef_awesome_AWS-8R,5,,5,,7,,7
mechdef_striker_STC-2C,54,,54,,110,,110
mechdef_awesome_AWS-8V,5,,5,,7,,7
mechdef_battlemaster_BLR-1G,54,,38,,34,,34
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,7,,7
mechdef_cyclops_CP-11-C,0,,0,3049-12-01T00:00:00Z,7,,7
mechdef_stalker_STK-4N,5,,5,,7,,7
mechdef_stalker_STK-3F,86,,86,,48,,48
mechdef_cyclops_CP-10-Q,10,,10,,12,,12
mechdef_awesome_AWS-8T,5,,5,,7,,7
mechdef_awesome_AWS-8Q,86,,86,,48,,48
mechdef_longbow_LGB-7Q,15,,15,,12,,12
mechdef_stalker_STK-3H,5,,5,,7,,7
mechdef_atlas_AS7-A,10,,10,,12,,12
mechdef_highlander_HGN-733,54,,54,,69,,69
mechdef_kingcrab_KGC-0000,10,,10,,7,,7
mechdef_highlander_HGN-733C,10,,10,,12,,12
mechdef_highlander_HGN-733P,10,,10,,12,,12
mechdef_atlas_AS7-D,15,,15,,12,,12
mechdef_cyclops_CP-10-HQ,5,,5,,7,,7
mechdef_atlas_AS7-LL,1,,1,,1,,1
mechdef_charger_CGR-SB,0,3025-07-01T00:00:00Z,3,,3,,3
mechdef_linesman_LMN-1PT,3,,3,,0,,0
mechdef_cyclops_CP-10-Z-DC,2,,2,,2,,2
mechdef_marauderII_MAD-4A,3,,3,,3,,3
mechdef_annihilator_ANH-1A,3,,3,,3,,3
mechdef_zeus_ZEU-6Y,3,,3,,3,,3